,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
64,Jaidon,Anthony,3,1,61,1241,29,209.3,308.6,263.0,4,193,78.1,2,0,2,0.2,50,MID
65,Philip,Billing,7,2,126,2766,54,401.1,637.4,445.0,14,475,148.4,9,0,5,0.9,55,MID
66,David,Brooks,0,0,5,170,4,28.8,17.6,42.0,0,7,8.7,0,0,1,0.1,50,MID
67,Ryan,Christie,1,2,64,1825,35,423.5,284.2,402.0,2,225,111.1,3,0,2,0.0,50,MID
68,Lewis,Cook,0,2,51,1712,39,352.5,313.0,45.0,1,280,71.2,3,0,4,0.0,50,MID
69,Siriki,Dembélé,0,0,6,104,2,52.3,31.8,28.0,0,20,11.3,0,0,0,0.0,45,MID
70,Ryan,Fredericks,0,0,12,527,11,26.7,66.0,12.0,0,63,10.6,0,0,1,0.1,45,DEF
71,James,Hill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40,DEF
72,Lloyd,Kelly,0,2,60,2040,38,114.0,419.8,26.0,5,372,56.3,5,0,3,0.0,45,DEF
73,Gavin,Kilkenny,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
74,Justin,Kluivert,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,50,MID
75,Jamal,Lowe,0,0,2,11,0,0.3,0.2,0.0,0,6,0.1,0,0,0,0.0,50,MID
76,Emiliano,Marcondes,0,0,1,8,1,0.0,1.2,0.0,0,3,0.1,0,0,0,0.0,45,MID
77,Chris,Mepham,0,0,43,2197,52,54.4,556.4,134.0,6,369,74.4,5,0,7,0.1,45,DEF
78,Kieffer,Moore,4,0,57,1269,34,100.1,219.4,280.0,3,161,59.5,3,0,1,0.5,50,FWD
79,Norberto,Murara Neto,0,0,93,2385,39,0.0,727.6,0.0,9,510,72.8,6,0,4,0.8,45,GK
80,Dango,Ouattara,1,3,49,1239,23,262.5,280.8,283.0,4,163,82.5,1,0,1,0.1,50,MID
81,Ben,Pearson,0,0,9,282,10,6.4,21.0,9.0,0,32,3.7,1,0,1,0.0,45,MID
82,Darren,Randolph,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,40,GK
83,Joe,Rothwell,0,1,33,1010,15,153.3,127.4,27.0,0,167,30.6,3,0,1,0.0,50,MID
84,Antoine,Semenyo,1,0,18,250,6,26.5,50.0,32.0,1,56,10.7,0,0,0,1.4,45,FWD
85,Marcos,Senesi,2,0,69,2489,55,79.1,602.2,113.0,5,462,79.6,5,0,7,0.2,45,DEF
86,Adam,Smith,0,1,74,2940,58,276.9,416.6,88.0,5,400,78.3,7,0,11,0.1,45,DEF
87,Dominic,Solanke,6,10,130,2865,52,282.1,528.8,1053.0,14,339,185.7,8,0,2,3.0,65,FWD
88,Marcus,Tavernier,5,4,94,1740,37,348.4,459.8,436.0,12,315,124.2,5,0,1,0.1,55,MID
89,Hamed,Traorè,0,0,14,425,8,218.5,84.0,36.0,0,60,33.8,2,0,0,0.0,50,MID
90,Mark,Travers,0,0,28,1035,32,0.0,290.0,0.0,1,193,29.1,2,0,0,0.5,40,GK
91,Illia,Zabarnyi,0,0,7,297,5,1.4,58.0,0.0,0,54,5.8,0,0,0,0.1,45,DEF
92,Milos,Kerkez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,DEF
93,Ionuț,Radu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,GK
94,Kristoffer,Ajer,0,0,29,763,14,24.7,96.8,27.0,0,129,15.1,4,0,0,0.3,45,DEF
95,Ellery,Balcombe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40,GK
96,Shandon,Baptiste,0,2,29,600,6,144.5,112.8,54.0,0,123,31.2,1,1,1,4.5,45,MID
97,Mads,Bech Sørensen,0,0,4,18,0,0.2,2.6,0.0,0,12,0.2,0,0,0,0.2,40,DEF
98,Mads,Bidstrup,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
99,Sergi,Canós Tenés,0,0,5,73,2,13.5,7.0,6.0,0,14,2.8,0,0,0,0.1,50,MID
100,Nathan,Collins,0,0,49,1811,37,38.9,437.0,36.0,6,326,51.5,4,1,2,0.3,45,DEF
101,Matthew,Cox,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
102,Mikkel,Damsgaard,0,0,33,970,14,172.1,140.2,152.0,0,131,46.5,3,0,4,0.1,50,MID
103,Josh,Dasilva,4,2,81,1371,17,208.5,305.8,182.0,3,274,69.6,5,0,1,0.2,50,MID
104,Halil,Dervişoğlu,0,1,4,6,0,0.0,0.0,10.0,0,11,1.0,0,0,0,0.0,45,FWD
105,Mark,Flekken,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.1,45,GK
106,Charlie,Goode,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,DEF
107,Rico,Henry,0,3,112,3240,46,411.5,460.0,197.0,4,505,107.0,11,0,4,3.2,45,DEF
108,Aaron,Hickey,0,3,63,1918,30,120.7,227.4,102.0,2,310,45.1,5,0,7,0.4,45,DEF
109,Vitaly,Janelt,3,1,85,2201,28,258.8,411.2,243.0,5,357,91.3,8,0,3,0.1,55,MID
110,Mathias,Jensen,5,7,132,2805,40,787.9,644.0,208.0,11,498,164.1,10,0,5,1.0,55,MID
111,Keane,Lewis-Potter,0,1,14,313,4,64.0,42.0,114.0,0,37,21.9,0,0,0,0.0,50,MID
112,Bryan,Mbeumo,9,9,150,2905,39,808.6,692.6,895.0,19,556,239.5,10,0,5,10.9,65,MID
113,Ben,Mee,3,2,143,3269,40,103.1,780.6,336.0,11,643,122.2,12,0,2,7.5,50,DEF
114,Christian,Nørgaard,1,6,71,1763,23,173.7,379.2,269.0,6,309,82.3,6,0,6,0.2,55,MID
115,Frank,Onyeka,0,3,38,837,11,93.7,136.4,111.0,0,111,34.2,3,0,0,0.0,50,MID
116,Ethan,Pinnock,3,0,112,2700,34,110.1,840.8,319.0,6,575,127.2,10,0,0,2.2,45,DEF
117,David,Raya Martin,0,0,166,3420,46,20.1,1146.0,4.0,20,822,117.3,12,0,1,7.1,50,GK
118,Mads,Roerslev Rasmussen,0,0,48,1101,12,120.7,167.6,46.0,0,201,33.4,5,0,0,0.1,45,DEF
119,Kevin,Schade,0,1,29,723,7,115.5,74.4,209.0,0,76,39.8,3,0,2,0.1,55,MID
120,Thomas,Strakosha,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,40,GK
121,Ivan,Toney,20,4,182,2953,42,424.3,926.8,1240.0,35,607,258.7,10,0,9,0.2,80,FWD
122,Ryan,Trevitt,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
123,Yoane,Wissa,7,4,111,1587,17,185.3,366.2,424.0,6,292,96.8,7,0,3,4.8,60,FWD
124,Yegor,Yarmolyuk,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.9,45,MID
125,Mathias,Jorgensen,0,1,45,1097,15,39.4,203.2,54.0,4,191,30.0,4,0,2,0.1,45,DEF
126,Simon,Adingra,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,50,MID
127,Steven,Alzate,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,MID
128,Yasin,Ayari,0,0,3,65,2,25.5,7.4,3.0,0,14,3.5,0,0,0,0.1,45,MID
129,Facundo,Buonanotte,1,1,26,558,12,100.9,90.0,102.0,2,72,28.5,1,0,2,0.1,50,MID
130,Moisés,Caicedo Corozo,1,1,79,3138,47,680.4,589.8,210.0,0,503,148.2,10,0,10,3.0,50,MID
131,Aaron,Connolly,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,FWD
132,Mahmoud,Dahoud,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,50,MID
133,Lewis,Dunk,1,1,112,3240,50,163.6,661.4,198.0,7,648,102.4,12,0,4,4.3,50,DEF
134,Julio,Enciso,4,3,57,794,12,177.5,262.8,399.0,7,189,83.8,4,0,1,6.0,55,MID
135,Pervis,Estupiñán,1,7,128,2674,43,757.9,575.2,297.0,15,593,162.5,10,0,4,52.4,50,DEF
