,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
534,Alejandro,Garnacho,3,2,39,557,13,58.5,153.8,266.0,0,81,47.9,0,0,3,1.5,41,MID
535,Carlos Henrique,Casimiro,4,3,87,2122,22,393.0,638.6,278.0,10,389,131.1,10,2,7,2.4,49,MID
536,Antony Matheus,dos Santos,4,2,82,1803,21,421.0,322.0,633.0,4,262,137.1,12,0,5,3.4,73,MID
537,Matej,Kovár,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
538,Kobbie,Mainoo,0,0,1,10,0,0.8,5.8,6.0,0,2,1.3,0,0,0,0.0,45,MID
539,Nathan,Bishop,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
540,Shola,Shoretire,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
541,Rhys,Bennett,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
542,Wout,Weghorst,0,1,24,790,11,183.7,97.6,140.0,0,56,42.1,4,0,1,0.3,54,FWD
543,Marcel,Sabitzer,0,1,25,622,7,138.9,100.4,84.0,0,98,32.5,5,0,1,0.1,47,MID
544,Marc,Jurado Gomez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
545,Anthony,Gordon,4,0,68,1574,18,215.3,265.6,517.0,5,186,99.8,4,0,7,0.9,51,MID
546,Matt,Ritchie,0,0,7,35,0,17.2,8.8,2.0,0,24,2.8,0,0,0,0.1,42,DEF
547,Federico,Fernández,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF
548,Ciaran,Clark,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
